"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_id","tail_count_stratum","replications","continuum_band_coverage","any_primary_false_report_rate","reversal_certification_rate","exact_count_certification_rate","derivative_assisted_local_exact_root_certification_rate","derivative_assisted_false_exact_root_report_rate","mean_y_ess_ratio_upper","mean_y_max_share_upper","continuum_band_coverage_denominator","continuum_band_coverage_mcse","continuum_band_coverage_wilson_lower","continuum_band_coverage_wilson_upper","any_primary_false_report_rate_denominator","any_primary_false_report_rate_mcse","any_primary_false_report_rate_wilson_lower","any_primary_false_report_rate_wilson_upper","reversal_certification_rate_denominator","reversal_certification_rate_mcse","reversal_certification_rate_wilson_lower","reversal_certification_rate_wilson_upper","exact_count_certification_rate_denominator","exact_count_certification_rate_mcse","exact_count_certification_rate_wilson_lower","exact_count_certification_rate_wilson_upper","derivative_assisted_local_exact_root_certification_rate_denominator","derivative_assisted_local_exact_root_certification_rate_mcse","derivative_assisted_local_exact_root_certification_rate_wilson_lower","derivative_assisted_local_exact_root_certification_rate_wilson_upper","derivative_assisted_false_exact_root_report_rate_denominator","derivative_assisted_false_exact_root_report_rate_mcse","derivative_assisted_false_exact_root_report_rate_wilson_lower","derivative_assisted_false_exact_root_report_rate_wilson_upper"
"main_final_v003","M034_RARE_NO_ROOT_P01_n250","stress","main_primary","RARE_NO_ROOT_P01",250,250,"absolute","K1","1",431,0.844547563805104,0.0232018561484919,0,0,,,0.0913472740268781,0.204472981832425,431,0.0174530843627293,0.807312040693671,0.87569551062279,431,0.00725145477359832,0.0126506639376116,0.042177270099205,431,0,0,0.00883415953739163,431,0,0,0.00883415953739163,0,,,,0,,,
"main_final_v003","M035_RARE_NO_ROOT_P01_n500","stress","main_primary","RARE_NO_ROOT_P01",500,500,"absolute","K1","1",74,0,0.364864864864865,0,0,,,0.137674677574699,0.114506660715531,74,0,0,0.049349779396386,74,0.0559607119968046,0.264385642928627,0.478681865016342,74,0,0,0.049349779396386,74,0,0,0.049349779396386,0,,,,0,,,
"main_final_v003","M036_RARE_CROSSING_P01_n100","stress","main_primary","RARE_CROSSING_P01",100,100,"absolute","K1","1",718,0.976323119777159,0,0,0,,,0.0637053977603751,0.392972474737021,718,0.00567409761956167,0.962410873918817,0.985165621780782,718,0,0,0.00532174866621002,718,0,0,0.00532174866621002,718,0,0,0.00532174866621002,0,,,,0,,,
"main_final_v003","M037_RARE_CROSSING_P01_n250","stress","main_primary","RARE_CROSSING_P01",250,250,"absolute","K1","1",424,0.877358490566038,0.089622641509434,0,0,,,0.0909602742874944,0.204829714429636,424,0.0159303147582373,0.842703823753603,0.905236782287828,424,0.0138719228814886,0.0659915057761755,0.120623085153768,424,0,0,0.00897869699510364,424,0,0,0.00897869699510364,0,,,,0,,,
"main_final_v003","M038_RARE_CROSSING_P01_n500","stress","main_primary","RARE_CROSSING_P01",500,500,"absolute","K1","1",58,0,0.879310344827586,0,0,,,0.13731542972512,0.114842785139674,58,0,6.93889390390723e-18,0.0621178557872029,58,0.0427752067865732,0.771206459540391,0.940290339517593,58,0,6.93889390390723e-18,0.0621178557872029,58,0,6.93889390390723e-18,0.0621178557872029,0,,,,0,,,
"main_final_v003","M039_RARE_CROSSING_P01_n1000","stress","main_primary","RARE_CROSSING_P01",1000,1000,"absolute","K1","1",1,0,1,0,0,,,0.186259270801675,0.0670180207713012,1,0,0,0.793450685622762,1,0,0.206549314377238,1,1,0,0,0.793450685622762,1,0,0,0.793450685622762,0,,,,0,,,
"main_final_v003","M047_RARE_CROSSING_P01_nx100_ny400","stress","main_primary","RARE_CROSSING_P01",100,400,"absolute","K1","1",154,0.402597402597403,0.149350649350649,0,0,,,0.12009862317338,0.138573988758799,154,0.0395192484762154,0.328423264430781,0.481512602709932,154,0.0287222517577173,0.101628183888364,0.214140937818204,154,0,0,0.0243374513223295,154,0,0,0.0243374513223295,0,,,,0,,,
"main_final_v003","M048_RARE_CROSSING_P01_nx400_ny100","stress","main_primary","RARE_CROSSING_P01",400,100,"absolute","K1","1",755,1,0,0,0,,,0.064296311497243,0.391106567474551,755,0,0.994937732017615,1,755,0,0,0.00506226798238473,755,0,0,0.00506226798238473,755,0,0,0.00506226798238473,0,,,,0,,,
"main_final_v003","M019_RARE_CROSSING_P05_n100","power","main_primary","RARE_CROSSING_P05",100,100,"absolute","K2","1",66,0,0.984848484848485,0,0,,,0.0193560549122715,0.719236896142491,66,0,0,0.0550025570135413,66,0.015036292831784,0.919040797379336,0.997320359456018,66,0,0,0.0550025570135413,66,0,0,0.0550025570135413,0,,,,0,,,
"main_final_v003","M030_RARE_EQUAL_P01_n100","stress","main_primary","RARE_EQUAL_P01",100,100,"absolute","K2","1",769,0.981794538361508,0.0182054616384915,0,0,,,0.0193693685532535,0.719148443622512,769,0.00482112047218377,0.96967457270093,0.989124921739648,769,0.00482112047218377,0.0108750782603522,0.0303254272990702,769,0,4.33680868994202e-19,0.00497056514871231,769,0,4.33680868994202e-19,0.00497056514871231,0,,,,0,,,
