"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_scope","configured_interval_ids","configured_interval_count","expected_replications","successful_replications","complete_interval_replications","missing_component_replications","failed_or_missing_unit_replications","across_interval_joint_construction_grid_band_coverage","across_interval_joint_audit_grid_band_coverage","across_interval_joint_continuum_band_coverage","across_interval_joint_any_primary_false_report_rate"
"main_final_v003","M032_RARE_EQUAL_P01_n500","stress","main_primary","RARE_EQUAL_P01",500,500,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.955708661417323,0.955708661417323,0.954724409448819,0.0442913385826772
"main_final_v003","M033_RARE_NO_ROOT_P01_n100","stress","main_primary","RARE_NO_ROOT_P01",100,100,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.645669291338583,0.645669291338583,0.645669291338583,0.0664370078740158
"main_final_v003","M034_RARE_NO_ROOT_P01_n250","stress","main_primary","RARE_NO_ROOT_P01",250,250,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.850885826771654,0.850885826771654,0.850885826771654,0.0595472440944882
"main_final_v003","M035_RARE_NO_ROOT_P01_n500","stress","main_primary","RARE_NO_ROOT_P01",500,500,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.873523622047244,0.873523622047244,0.873523622047244,0.0295275590551181
"main_final_v003","M036_RARE_CROSSING_P01_n100","stress","main_primary","RARE_CROSSING_P01",100,100,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.601377952755906,0.601377952755906,0.601377952755906,0.255413385826772
"main_final_v003","M037_RARE_CROSSING_P01_n250","stress","main_primary","RARE_CROSSING_P01",250,250,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.871555118110236,0.871555118110236,0.871555118110236,0.093011811023622
"main_final_v003","M038_RARE_CROSSING_P01_n500","stress","main_primary","RARE_CROSSING_P01",500,500,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.891732283464567,0.891732283464567,0.891732283464567,0.0649606299212598
"main_final_v003","M039_RARE_CROSSING_P01_n1000","stress","main_primary","RARE_CROSSING_P01",1000,1000,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.923228346456693,0.923228346456693,0.923228346456693,0.0452755905511811
"main_final_v003","M040_TANGENCY_n500","stress","main_primary","TANGENCY",500,500,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,2032,2032,2032,0,0,0.945374015748031,0.945374015748031,0.94488188976378,0.0369094488188976
"main_final_v003","M041_TANGENCY_n1000","stress","main_primary","TANGENCY",1000,1000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,2032,2032,2032,0,0,0.951771653543307,0.951771653543307,0.951771653543307,0.0383858267716535
"main_final_v003","M042_TWO_ROOT_n500","stress","main_primary","TWO_ROOT",500,500,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,2032,2032,2032,0,0,0.949803149606299,0.949803149606299,0.949803149606299,0.0408464566929134
"main_final_v003","M043_TWO_ROOT_n1000","stress","main_primary","TWO_ROOT",1000,1000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,2032,2032,2032,0,0,0.951771653543307,0.951771653543307,0.951771653543307,0.0388779527559055
"main_final_v003","M044_PARETO_n250","stress","main_primary","PARETO",250,250,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.903543307086614,0.903543307086614,0.903051181102362,0.0482283464566929
"main_final_v003","M045_PARETO_n500","stress","main_primary","PARETO",500,500,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.904035433070866,0.904035433070866,0.902066929133858,0.0437992125984252
"main_final_v003","M046_PARETO_n1000","stress","main_primary","PARETO",1000,1000,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.911909448818898,0.911909448818898,0.908956692913386,0.0482283464566929
"main_final_v003","M047_RARE_CROSSING_P01_nx100_ny400","stress","main_primary","RARE_CROSSING_P01",100,400,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.84990157480315,0.84990157480315,0.84990157480315,0.0442913385826772
"main_final_v003","M048_RARE_CROSSING_P01_nx400_ny100","stress","main_primary","RARE_CROSSING_P01",400,100,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.639271653543307,0.639271653543307,0.639271653543307,0.360236220472441
"main_final_v003","M049_TANGENCY_SV_POWER_n2000","power","main_primary","TANGENCY_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,2032,2032,2032,0,0,0.94488188976378,0.94488188976378,0.94488188976378,0.0329724409448819
"main_final_v003","M050_TANGENCY_SV_POWER_n4000","power","main_primary","TANGENCY_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,2032,2032,2032,0,0,0.955216535433071,0.955216535433071,0.954724409448819,0.0241141732283465
"main_final_v003","M051_TANGENCY_SV_POWER_n8000","power","main_primary","TANGENCY_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,2032,2032,2032,0,0,0.946358267716535,0.946358267716535,0.945866141732283,0.031003937007874
"main_final_v003","M052_TWO_ROOT_SV_POWER_n2000","power","main_primary","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,2032,2032,2032,0,0,0.954232283464567,0.954232283464567,0.954232283464567,0.0359251968503937
"main_final_v003","M053_TWO_ROOT_SV_POWER_n4000","power","main_primary","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,2032,2032,2032,0,0,0.943897637795276,0.943897637795276,0.943897637795276,0.0433070866141732
"main_final_v003","M054_TWO_ROOT_SV_POWER_n8000","power","main_primary","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,2032,2032,2032,0,0,0.949803149606299,0.949803149606299,0.948818897637795,0.0364173228346457
