"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_scope","configured_interval_ids","metric","successes","denominator","estimate","mcse","wilson_lower","wilson_upper"
"enclosure_depth_v001","ED1_008_TWO_ROOT_SV_POWER_n2000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_audit_grid",245,254,0.964566929133858,0.0115998860222368,0.934042581122305,0.981248548083247
"enclosure_depth_v001","ED1_008_TWO_ROOT_SV_POWER_n2000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_continuum_band_covers_truth",245,254,0.964566929133858,0.0115998860222368,0.934042581122305,0.981248548083247
"enclosure_depth_v001","ED1_008_TWO_ROOT_SV_POWER_n2000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_any_primary_false_report",7,254,0.0275590551181102,0.0102718086790882,0.0134124312501783,0.0557830305746839
"enclosure_depth_v001","ED1_009_TWO_ROOT_SV_POWER_n4000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_grid",242,254,0.952755905511811,0.0133121355481043,0.919250194307301,0.972770821443873
"enclosure_depth_v001","ED1_009_TWO_ROOT_SV_POWER_n4000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_audit_grid",242,254,0.952755905511811,0.0133121355481043,0.919250194307301,0.972770821443873
"enclosure_depth_v001","ED1_009_TWO_ROOT_SV_POWER_n4000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_continuum_band_covers_truth",242,254,0.952755905511811,0.0133121355481043,0.919250194307301,0.972770821443873
"enclosure_depth_v001","ED1_009_TWO_ROOT_SV_POWER_n4000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_any_primary_false_report",9,254,0.0354330708661417,0.0115998860222368,0.0187514519167528,0.065957418877695
"enclosure_depth_v001","ED1_010_TWO_ROOT_SV_POWER_n4000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_grid",242,254,0.952755905511811,0.0133121355481043,0.919250194307301,0.972770821443873
"enclosure_depth_v001","ED1_010_TWO_ROOT_SV_POWER_n4000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_audit_grid",242,254,0.952755905511811,0.0133121355481043,0.919250194307301,0.972770821443873
"enclosure_depth_v001","ED1_010_TWO_ROOT_SV_POWER_n4000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_continuum_band_covers_truth",242,254,0.952755905511811,0.0133121355481043,0.919250194307301,0.972770821443873
"enclosure_depth_v001","ED1_010_TWO_ROOT_SV_POWER_n4000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",4000,4000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_any_primary_false_report",9,254,0.0354330708661417,0.0115998860222368,0.0187514519167528,0.065957418877695
"enclosure_depth_v001","ED1_011_TWO_ROOT_SV_POWER_n8000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_grid",244,254,0.960629921259842,0.01220237417846,0.92905769352091,0.978476731199849
"enclosure_depth_v001","ED1_011_TWO_ROOT_SV_POWER_n8000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_audit_grid",244,254,0.960629921259842,0.01220237417846,0.92905769352091,0.978476731199849
"enclosure_depth_v001","ED1_011_TWO_ROOT_SV_POWER_n8000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_continuum_band_covers_truth",244,254,0.960629921259842,0.01220237417846,0.92905769352091,0.978476731199849
"enclosure_depth_v001","ED1_011_TWO_ROOT_SV_POWER_n8000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_any_primary_false_report",6,254,0.0236220472440945,0.00952907819324417,0.0108701341887398,0.0505686231513296
"enclosure_depth_v001","ED1_012_TWO_ROOT_SV_POWER_n8000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_grid",244,254,0.960629921259842,0.01220237417846,0.92905769352091,0.978476731199849
"enclosure_depth_v001","ED1_012_TWO_ROOT_SV_POWER_n8000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_audit_grid",244,254,0.960629921259842,0.01220237417846,0.92905769352091,0.978476731199849
"enclosure_depth_v001","ED1_012_TWO_ROOT_SV_POWER_n8000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_continuum_band_covers_truth",244,254,0.960629921259842,0.01220237417846,0.92905769352091,0.978476731199849
"enclosure_depth_v001","ED1_012_TWO_ROOT_SV_POWER_n8000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_any_primary_false_report",6,254,0.0236220472440945,0.00952907819324417,0.0108701341887398,0.0505686231513296
