"cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_id","metric","successes","denominator","estimate","mcse","wilson_lower","wilson_upper"
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_root_component_present_conditional_on_continuum_band_coverage",240,240,1,0,0.984246080058441,1
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_root_component_touches_K_left_conditional_on_continuum_band_coverage",157,240,0.654166666666667,0.0307023776826872,0.591988882058146,0.711486992626539
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_root_component_touches_K_right_conditional_on_continuum_band_coverage",0,240,0,0,1.73472347597681e-18,0.0157539199415588
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_root_component_touches_K_boundary_conditional_on_continuum_band_coverage",157,240,0.654166666666667,0.0307023776826872,0.591988882058146,0.711486992626539
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_isolation_applicable",0,254,0,0,0,0.0148985304313125
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_isolation_success",0,0,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_isolation_limit_hit",0,0,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_isolation_all_tolerances_met",0,0,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","wald_reported",0,0,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","wald_conditional_cover",0,0,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","wald_formal_unconditional_cover",0,0,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","wald_report_and_cover",0,0,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_multiplier_applicable",0,254,0,0,0,0.0148985304313125
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_multiplier_reported",0,0,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_multiplier_conditional_cover",0,0,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_multiplier_formal_unconditional_cover",0,0,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_multiplier_report_and_cover",0,0,,,,
