"cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_id","metric","rows","finite","missing","positive_infinite","negative_infinite","mean","sd","q05","q50","q95"
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_truncated_local_scaled_outer_radius",254,240,14,0,0,1.4003250877087,0.0378684161300733,1.40585331297587,1.40585331297587,1.40585331297587
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_truncated_local_scaled_outer_hausdorff",254,240,12,2,0,1.4003250877087,0.0378684161300733,1.40585331297587,1.40585331297587,1.40585331297587
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_outer_component_count_conditional_on_continuum_band_coverage",254,240,14,0,0,1,0,1,1,1
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_outer_total_length_conditional_on_continuum_band_coverage",254,240,14,0,0,0.788866536458333,0.140847861833824,0.5360625,0.8075,0.9875
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_outer_hausdorff_conditional_on_continuum_band_coverage",254,240,14,0,0,0.45979345703125,0.109318293224728,0.28994921875,0.45884765625,0.6375
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_outer_left_radius_conditional_on_continuum_band_coverage",254,240,14,0,0,0.329818359375,0.0382161642137601,0.24453125,0.35,0.35
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_outer_right_radius_conditional_on_continuum_band_coverage",254,240,14,0,0,0.459048177083333,0.110655462618184,0.287375,0.45884765625,0.6375
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_scaled_outer_total_length_conditional_on_continuum_band_coverage",254,240,14,0,0,4.436122535103,0.792045732738597,3.01450096634852,4.54090620091207,5.5531205862547
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_scaled_outer_hausdorff_conditional_on_continuum_band_coverage",254,240,14,0,0,2.58560861940805,0.614741938795408,1.63050427909781,2.58028999076111,3.58492594808848
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_scaled_outer_left_radius_conditional_on_continuum_band_coverage",254,240,14,0,0,1.85470493283044,0.214905284276579,1.37510027175453,1.96819463816622,1.96819463816622
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_scaled_outer_right_radius_conditional_on_continuum_band_coverage",254,240,14,0,0,2.58141760227256,0.622261394882606,1.61602838326577,2.58028999076111,3.58492594808848
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_root_component_left_conditional_on_continuum_band_coverage",254,240,14,0,0,0.270181640625,0.0382161642137601,0.25,0.25,0.35546875
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_root_component_right_conditional_on_continuum_band_coverage",254,240,14,0,0,1.05904817708333,0.110655462618184,0.887375,1.05884765625,1.2375
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_root_component_length_conditional_on_continuum_band_coverage",254,240,14,0,0,0.788866536458333,0.140847861833824,0.5360625,0.8075,0.9875
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_root_component_left_radius_conditional_on_continuum_band_coverage",254,240,14,0,0,0.329818359375,0.0382161642137601,0.24453125,0.35,0.35
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_root_component_right_radius_conditional_on_continuum_band_coverage",254,240,14,0,0,0.459048177083333,0.110655462618184,0.287375,0.45884765625,0.6375
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_scaled_root_component_length_conditional_on_continuum_band_coverage",254,240,14,0,0,4.436122535103,0.792045732738597,3.01450096634852,4.54090620091207,5.5531205862547
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_scaled_root_component_left_radius_conditional_on_continuum_band_coverage",254,240,14,0,0,1.85470493283044,0.214905284276579,1.37510027175453,1.96819463816622,1.96819463816622
